fdc_id,food_name,calories,protein,carbs,fat,source
319874,"HUMMUS, SABRA CLASSIC",,,,,USDA
319875,"HUMMUS, SABRA CLASSIC",,,,,USDA
319876,"HUMMUS, SABRA CLASSIC",,,,,USDA
319877,Hummus,,,,19.0,USDA
319878,Hummus,,,,,USDA
319879,"HUMMUS, SABRA CLASSIC",,,,,USDA
319880,"HUMMUS, SABRA CLASSIC",,,,,USDA
319881,"HUMMUS, SABRA CLASSIC",,,,,USDA
319882,Hummus,,,,18.7,USDA
319883,Hummus,,,,,USDA
319884,Hummus,,,,,USDA
319885,"HUMMUS, SABRA CLASSIC",,,,,USDA
319886,"HUMMUS, SABRA CLASSIC",,,,,USDA
319887,"HUMMUS, SABRA CLASSIC",,,,,USDA
319888,"HUMMUS, SABRA CLASSIC",,,,,USDA
319889,"HUMMUS, SABRA CLASSIC",,,,,USDA
319890,"HUMMUS, SABRA CLASSIC",,,,,USDA
319891,"HUMMUS, SABRA CLASSIC",,,,,USDA
319892,Hummus,,,,16.6,USDA
319893,Hummus,,,,,USDA
319894,"HUMMUS, OTHER",,,,,USDA
319895,"HUMMUS, OTHER",,,,,USDA
319896,"HUMMUS, OTHER",,,,,USDA
319897,"HUMMUS, OTHER",,,,,USDA
319898,"HUMMUS, OTHER",,,,,USDA
319899,Hummus,,,,19.1,USDA
319900,Hummus,,,,,USDA
319901,"HUMMUS, SABRA CLASSIC",,,,,USDA
319902,"HUMMUS, SABRA CLASSIC",,,,,USDA
319903,"HUMMUS, SABRA CLASSIC",,,,,USDA
319904,"HUMMUS, SABRA CLASSIC",,,,,USDA
319905,"HUMMUS, SABRA CLASSIC",,,,,USDA
319906,Hummus - NFY12140O,,,,,USDA
319907,Hummus - NFY12140P,,,,,USDA
319908,Hummus,,,,18.2,USDA
319909,Hummus,,,,,USDA
319910,Hummus,,,,,USDA
319911,Hummus,,,,,USDA
319912,Hummus,,,,,USDA
319913,Hummus,,,,,USDA
319914,Hummus,,,,,USDA
319915,Hummus - NFY12140Q,,,,,USDA
319916,Hummus - NFY12140R,,,,,USDA
319917,Hummus - NFY12140S,,,,,USDA
319918,Hummus - NFY12140F,,,,,USDA
319919,Hummus - NFY12140G,,,,,USDA
319920,"Hummus, Sabra Classic - CA1, IN",,,,,USDA
319921,"HUMMUS, SABRA CLASSIC",,,,,USDA
319922,"HUMMUS, SABRA CLASSIC",,,,,USDA
319923,"HUMMUS, SABRA CLASSIC",,,,,USDA
319924,"HUMMUS, SABRA CLASSIC",,,,,USDA
319925,"HUMMUS, SABRA CLASSIC",,,,,USDA
319926,Hummus - NFY12141C,,,,,USDA
319927,Hummus - NFY12141D,,,,,USDA
319928,Hummus,,,,18.0,USDA
319929,Hummus,,,,,USDA
319930,Hummus,,,,,USDA
319931,Hummus,,,,,USDA
319932,Hummus,,,,,USDA
319933,Hummus - NFY12141E,,,,,USDA
319934,Hummus - NFY12141F,,,,,USDA
319935,Hummus - NFY12141G,,,,,USDA
319936,Hummus - NFY12141H,,,,,USDA
319937,Hummus - NFY121416,,,,,USDA
319938,"Hummus, Sabra Classic - GA, NJ",,,,,USDA
319939,"HUMMUS, SABRA CLASSIC",,,,,USDA
319940,"HUMMUS, SABRA CLASSIC",,,,,USDA
319941,"HUMMUS, SABRA CLASSIC",,,,,USDA
319942,"HUMMUS, SABRA CLASSIC",,,,,USDA
319943,"HUMMUS, SABRA CLASSIC",,,,,USDA
319944,Hummus - NFY1213ZV,,,,,USDA
319945,Hummus - NFY1213ZW,,,,,USDA
319946,Hummus,,,,18.2,USDA
319947,Hummus,,,,,USDA
319948,Hummus,,,,,USDA
319949,Hummus,,,,,USDA
319950,Hummus,,,,,USDA
319951,Hummus - NFY1213ZX,,,,,USDA
319952,Hummus - NFY1213ZY,,,,,USDA
319953,Hummus - NFY1213ZZ,,,,,USDA
319954,Hummus - NFY121400,,,,,USDA
319955,Hummus,,,,,USDA
319956,Hummus - NFY1213ZP,,,,,USDA
319957,"Hummus, Sabra Classic - KY, CA2",,,,,USDA
319958,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319959,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319960,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319961,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319962,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319963,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319964,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319965,Hummus - NFY12143C,,,,,USDA
319966,Hummus - NFY12143D,,,,,USDA
319967,Hummus,,,,14.8,USDA
319968,Hummus,,,,,USDA
319969,Hummus,,,,,USDA
319970,Hummus,,,,,USDA
319971,Hummus,,,,,USDA
319972,Hummus,,,,,USDA
319973,Hummus - NFY12143E,,,,,USDA
319974,Hummus - NFY12143F,,,,,USDA
319975,Hummus - NFY12143G,,,,,USDA
319976,Hummus - NFY121435,,,,,USDA
319977,"Hummus, Tribe Classic - GA, NJ",,,,,USDA
319978,"HUMMUS, OTHER",,,,,USDA
319979,"HUMMUS, OTHER",,,,,USDA
319980,"HUMMUS, OTHER",,,,,USDA
319981,Hummus,,,,11.9,USDA
319982,Hummus,,,,,USDA
319983,Hummus,,,,,USDA
319984,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319985,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319986,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319987,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319988,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319989,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319990,"HUMMUS, TRIBE CLASSIC",,,,,USDA
319991,Hummus - NFY12141W,,,,,USDA
319992,Hummus - NFY12141X,,,,,USDA
319993,Hummus,,,,15.2,USDA
319994,Hummus,,,,,USDA
319995,Hummus,,,,,USDA
319996,Hummus,,,,,USDA
319997,Hummus,,,,,USDA
319998,Hummus,,,,,USDA
319999,Hummus - NFY12141Y,,,,,USDA
320000,Hummus - NFY12141Z,,,,,USDA
320001,Hummus - NFY121420,,,,,USDA
320002,Hummus - NFY121421,,,,,USDA
320003,Hummus - NFY12141P,,,,,USDA
320004,"Hummus, Tribe Classic - KY, PA",,,,,USDA
320005,"HUMMUS, OTHER",,,,,USDA
320006,"HUMMUS, OTHER",,,,,USDA
320007,"HUMMUS, OTHER",,,,,USDA
320008,"HUMMUS, OTHER",,,,,USDA
320009,"HUMMUS, OTHER",,,,,USDA
320010,"HUMMUS, OTHER",,,,,USDA
320011,Hummus - NFY12142M,,,,,USDA
320012,Hummus - NFY12142N,,,,,USDA
320013,Hummus,,,,18.8,USDA
320014,Hummus,,,,,USDA
320015,Hummus,,,,,USDA
320016,Hummus,,,,,USDA
320017,Hummus,,,,,USDA
320018,Hummus - NFY12142O,,,,,USDA
320019,Hummus - NFY12142P,,,,,USDA
320020,Hummus - NFY12142Q,,,,,USDA
320021,Hummus - NFY12142R,,,,,USDA
320022,Hummus - NFY12142G,,,,,USDA
320023,"Hummus, Other - AZ, IN",,,,,USDA
320025,"MILK, 2% (WAVE 22E)",,,,,USDA
320026,"MILK, 2% (WAVE 22E)",,,,,USDA
320027,"MILK, 2% ",,,,1.8,USDA
320028,"MILK, 2% ",,,,,USDA
320029,"MILK, 2% ",,,,,USDA
320030,"MILK, 2% (WAVE 22E)",,,,,USDA
320031,"MILK, 2% (WAVE 22E)",,,,,USDA
320032,"MILK, 2% (WAVE 22E)",,,,,USDA
320033,"MILK, 2% ",,,,1.91,USDA
320034,"MILK, 2% ",,,,,USDA
320035,"MILK, 2% ",,,,,USDA
320036,"MILK, 2% (WAVE 22E)",,,,,USDA
320037,"MILK, 2% (WAVE 22E)",,,,,USDA
320038,"MILK, 2% (WAVE 22E)",,,,,USDA
